연도,시간대,사고건수,사고비율
2005,0~2시,4567,17
2005,2~4시,3122,11
2005,4~6시,2139,8
2005,6~8시,1539,5
2005,8~10시,841,3
2005,10~12시,424,1
2005,12~14시,507,1
2005,14~16시,818,3
2005,16~18시,1394,5
2005,18~20시,2517,9
2005,20~22시,3729,14
2005,22~24시,4863,18
2006,0~2시,5316,17
2006,2~4시,3549,11
2006,4~6시,2425,8
2006,6~8시,1659,5
2006,8~10시,931,3
2006,10~12시,499,1
2006,12~14시,581,1
2006,14~16시,909,3
2006,16~18시,1603,5
2006,18~20시,2772,9
2006,20~22시,4060,13
2006,22~24시,5686,19
2007,0~2시,4893,17
2007,2~4시,3398,12
2007,4~6시,2487,8
2007,6~8시,1727,6
2007,8~10시,896,3
2007,10~12시,483,1
2007,12~14시,526,1
2007,14~16시,847,3
2007,16~18시,1368,4
2007,18~20시,2657,9
2007,20~22시,3709,13
2007,22~24시,5425,19
2008,0~2시,4509,16
2008,2~4시,3043,11
2008,4~6시,2109,7
2008,6~8시,1724,6
2008,8~10시,816,3
2008,10~12시,488,1
2008,12~14시,538,2
2008,14~16시,876,3
2008,16~18시,1484,5
2008,18~20시,2609,9
2008,20~22시,3706,13
2008,22~24시,4971,18
2009,0~2시,4677,16
2009,2~4시,3152,11
2009,4~6시,2254,8
2009,6~8시,1681,6
2009,8~10시,956,3
2009,10~12시,496,1
2009,12~14시,558,2
2009,14~16시,909,3
2009,16~18시,1522,5
2009,18~20시,2754,9
2009,20~22시,3891,13
2009,22~24시,5357,19
2010,0~2시,4972,17
2010,2~4시,3252,11
2010,4~6시,2227,7
2010,6~8시,1589,5
2010,8~10시,926,3
2010,10~12시,498,1
2010,12~14시,578,2
2010,14~16시,906,3
2010,16~18시,1532,5
2010,18~20시,2700,9
2010,20~22시,3930,13
2010,22~24시,5531,19
2011,0~2시,4812,16
2011,2~4시,3125,11
2011,4~6시,2125,7
2011,6~8시,1593,5
2011,8~10시,829,2
2011,10~12시,548,1
2011,12~14시,585,2
2011,14~16시,925,3
2011,16~18시,1576,5
2011,18~20시,2759,9
2011,20~22시,4065,14
2011,22~24시,5519,19
2012,0~2시,4382,16
2012,2~4시,3078,10
2012,4~6시,2109,7
2012,6~8시,1550,5
2012,8~10시,876,3
2012,10~12시,553,1
2012,12~14시,695,2
2012,14~16시,1005,3
2012,16~18시,1590,5
2012,18~20시,2856,9
2012,20~22시,4123,14
2012,22~24시,5826,20
2013,0~2시,4383,16
2013,2~4시,2770,10
2013,4~6시,1905,7
2013,6~8시,1431,5
2013,8~10시,859,3
2013,10~12시,524,2
2013,12~14시,618,2
2013,14~16시,962,3
2013,16~18시,1552,5
2013,18~20시,2613,9
2013,20~22시,3752,14
2013,22~24시,5220,19
2014,0~2시,3906,16
2014,2~4시,2549,10
2014,4~6시,1635,6
2014,6~8시,1382,5
2014,8~10시,791,3
2014,10~12시,507,2
2014,12~14시,586,2
2014,14~16시,918,3
2014,16~18시,1396,5
2014,18~20시,2362,9
2014,20~22시,3401,14
2014,22~24시,4610,19
2015,0~2시,4014,16
2015,2~4시,2531,10
2015,4~6시,1786,7
2015,6~8시,1422,5
2015,8~10시,771,3
2015,10~12시,498,2
2015,12~14시,589,2
2015,14~16시,905,3
2015,16~18시,1503,6
2015,18~20시,2272,9
2015,20~22시,3352,13
2015,22~24시,4756,19
2016,0~2시,3212,16
2016,2~4시,2110,10
2016,4~6시,1537,7
2016,6~8시,1221,6
2016,8~10시,706,3
2016,10~12시,479,2
2016,12~14시,480,2
2016,14~16시,788,4
2016,16~18시,1106,5
2016,18~20시,1842,9
2016,20~22시,2637,13
2016,22~24시,3651,18
2017,0~2시,3124,16
2017,2~4시,1983,10
2017,4~6시,1425,7
2017,6~8시,1161,5
2017,8~10시,750,3
2017,10~12시,526,2
2017,12~14시,533,2
2017,14~16시,764,3
2017,16~18시,1205,6
2017,18~20시,1828,9
2017,20~22시,2586,13
2017,22~24시,3632,18
2018,0~2시,3034,15
2018,2~4시,1928,9
2018,4~6시,1463,7
2018,6~8시,1146,5
2018,8~10시,728,3
2018,10~12시,494,2
2018,12~14시,504,2
2018,14~16시,761,3
2018,16~18시,1184,6
2018,18~20시,1831,9
2018,20~22시,2539,13
2018,22~24시,3769,19
2019,0~2시,2508,16
2019,2~4시,1556,9
2019,4~6시,1171,7
2019,6~8시,1031,6
2019,8~10시,631,4
2019,10~12시,406,2
2019,12~14시,452,2
2019,14~16시,647,4
2019,16~18시,918,5
2019,18~20시,1512,9
2019,20~22시,1978,12
2019,22~24시,2898,18
2020,0~2시,2653,15
2020,2~4시,1549,9
2020,4~6시,1139,6
2020,6~8시,905,5
2020,8~10시,655,3
2020,10~12시,412,2
2020,12~14시,508,2
2020,14~16시,670,3
2020,16~18시,1066,6
2020,18~20시,1634,9
2020,20~22시,2675,15
2020,22~24시,3381,19
2021,0~2시,1728,11
2021,2~4시,831,5
2021,4~6시,564,3
2021,6~8시,482,3
2021,8~10시,411,2
2021,10~12시,392,2
2021,12~14시,439,2
2021,14~16시,689,4
2021,16~18시,1034,6
2021,18~20시,1674,11
2021,20~22시,2891,19
2021,22~24시,3759,25
