년도,1회,2회,3회,4회,5회,6회,7회이상,총적발수,초범자수,재범자수,재범률
2010,179086,79314,30103,9705,3118,903,478,302707,179086,123621,0.40838500596286176
2011,151488,67195,26172,8925,3017,929,487,258213,151488,106725,0.4133215601073532
2012,142803,63990,25607,9094,3179,1085,525,246283,142803,103480,0.42016704360430884
2013,154992,69863,28862,10391,3718,1285,725,269836,154992,114844,0.42560666478898296
2014,142258,64813,28183,10534,3775,1396,829,251788,142258,109530,0.4350088169412363
2015,135096,63018,27552,10810,4171,1556,897,243100,135096,108004,0.44427807486631016
2016,125736,57666,25856,10494,4131,1599,1117,226599,125736,100863,0.44511670395721076
2017,114585,51130,23396,9364,3896,1527,1289,205187,114585,90602,0.44155818838425437
2018,90168,40648,19025,7884,3189,1280,866,163060,90168,72892,0.44702563473568013
2019,73572,31487,14693,6416,2696,1102,806,130772,73572,57200,0.43740250206466214
2020,64229,28347,13836,6273,2735,1228,901,117549,64229,53320,0.45359807399467456
2021,64300,27355,13278,6150,2636,1186,977,115882,64300,51582,0.4451252135793307
2022,75245,29676,13830,6473,2838,1238,983,130283,75245,55038,0.4224495905068198
2023,75143,29445,13772,6589,2827,1304,1070,130150,75143,55007,0.42264310411064154
2024,65755,27664,12613,6126,2723,1216,944,117041,65755,51286,0.43818832716740286
