"시도","법규준수교육(의무,권장)","음주1회반(의무)","음주2회반(의무)","음주3회반(의무)","배려운전 교육(의무)","벌점감경 교육(권장)","현장참여 교육(권장)"
"서울","7930","25054","3505","134","238","4895","11264"
"부산","1843","8784","1441","109","76","736","3419"
"대구","1657","8335","1146","91","72","494","3239"
"인천","4380","12356","1580","135","144","2348","6686"
"경기","4911","23382","3672","161","226","3122","10019"
"강원","915","5016","590","75","31","313","1677"
"충북","1018","4862","612","42","32","401","1884"
"충남","2033","10862","1121","86","97","715","3998"
"전북","862","4686","655","51","31","250","1938"
"전남","2143","10476","1534","89","86","1107","4148"
"경북","1289","6893","1096","62","20","372","2541"
"경남","1949","12969","1881","137","65","542","4493"
"제주","371","2914","424","27","7","104","1051"
