구분,00~01시,02~03시,04~05시,06~07시,08~09시,10~11시,12~13시,14~15시,16~17시,18~19시,20~21시,22~23시
2020-01,1642,987,731,601,341,235,192,307,285,411,1320,2371
2020-02,1399,1018,672,444,236,130,125,178,254,423,728,1357
2020-03,1780,1138,735,462,213,144,144,224,317,562,1130,2074
2020-04,1838,1221,717,441,274,155,180,271,345,591,1509,2565
2020-05,1946,1296,807,488,304,194,200,291,341,488,1544,2459
2020-06,1965,1215,798,468,261,151,209,295,321,446,1526,2605
2020-07,2160,1351,897,531,380,250,201,289,377,535,1562,2741
2020-08,2022,1394,843,542,320,213,229,265,403,560,1364,2277
2020-09,1940,1075,612,420,242,177,242,317,418,611,1814,2751
2020-10,1984,1187,752,490,306,168,205,280,391,590,1689,2808
